Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
BD24,"286,995",,,,,,,,249,249,3.0,17%,,,,,,,,,,,,5%,10%,25%,59,North West,"5,180",35%,18%,25%,"39,200",3.0,11%,15%
BH1,"228,666",,"148,350","244,423","335,328",,,331,274,302,17.0,17%,954,,759,"1,068",,,,528,,5.0%,63%,11%,21%,34%,316,South West,"19,989",28%,31%,18%,"34,600",2.0,12%,50%
BH2,"234,104",,"155,599","255,844","361,539",,,343,289,316,11.0,14%,938,,734,"1,121",,,,,,4.8%,78%,12%,22%,11%,449,South West,"8,416",34%,27%,23%,"36,200",2.0,8%,50%
BH3,"426,661",,,"256,142",,,,,313,313,4.0,33%,"1,588",,,,,,,,,4.5%,27%,16%,47%,51%,108,South West,"5,635",32%,18%,31%,"42,000",3.0,6%,30%
BH4,"290,929",,"172,993","275,234","418,059",,,,325,325,15.0,28%,"1,186",,,"1,179",,,,,,4.9%,,,11%,13%,107,South West,"9,509",35%,22%,32%,"38,700",2.0,7%,35%
BH5,"247,041",,"155,992","255,025","398,059",,,343,309,326,12.0,19%,858,,,,,,,,,4.2%,,-2%,20%,27%,166,South West,"10,816",28%,32%,22%,"35,400",2.0,6%,49%
BH6,"394,548",,"176,085","280,089","517,674","679,905",,377,360,368,18.0,27%,"1,026",,,,,,,,,3.1%,,-1%,15%,38%,80,South West,"22,698",31%,22%,26%,"39,800",3.0,8%,23%
BH7,"346,473",,,"225,831","427,059","559,667",,,320,320,6.0,32%,,,,,,,,,,,,4%,28%,50%,134,South West,"11,495",27%,26%,25%,"43,200",3.0,5%,27%
BH8,"284,453",,"152,488","243,601","354,967","543,073",,345,305,325,16.0,29%,"1,303",,755,,"1,356","1,668",,510,,5.5%,51%,6%,21%,41%,143,South West,"28,259",26%,26%,19%,"38,300",3.0,15%,32%
BH9,"345,401",,"160,839","242,145","383,618","443,942",,355,318,336,15.0,33%,"1,815",,,993,"1,363","1,734","2,128",517,,6.3%,30%,7%,14%,25%,80,South West,"30,964",22%,22%,20%,"40,600",3.0,6%,27%
BH10,"349,457",,,"284,020","366,485","453,214",,,328,328,11.0,31%,"1,543",,,,,,,,,5.3%,45%,8%,13%,24%,92,South West,"20,064",16%,31%,15%,"36,300",3.0,12%,14%
BH11,"337,468",,,"285,169","350,179","464,688",,,324,324,12.0,37%,"1,230",,,,,,,,,4.4%,,7%,11%,23%,141,South West,"19,783",15%,32%,12%,"35,000",2.0,26%,10%
BH12,"318,394",,,"260,429","346,604","415,585",,349,309,329,27.0,57%,"1,328",,,999,,,,507,,5.0%,56%,8%,14%,24%,117,South West,"34,926",20%,26%,16%,"38,000",3.0,17%,16%
BH13,"695,207",,,"379,945","645,972","1,989,500",,482,411,446,14.0,24%,"1,572",,,,,,,,,2.7%,,-1%,15%,36%,87,South West,"8,246",38%,15%,43%,"44,200",3.0,2%,19%
BH14,"417,373",,"172,496","276,748","555,525","892,181","1,181,250",414,363,388,27.0,30%,"1,167",,,"1,214",,,,,,3.4%,132%,8%,28%,31%,97,South West,"23,773",35%,18%,36%,"44,400",3.0,6%,22%
BH15,"317,610",,"183,498","269,205","366,808","512,184",,,322,322,21.0,20%,"1,133",,,"1,078",,,,539,,4.3%,117%,9%,14%,29%,139,South West,"33,212",23%,25%,19%,"37,800",2.0,15%,19%
BH16,"364,151",,,"272,324","359,352","530,246",,,324,324,8.0,18%,,,,,,,,,,,,6%,8%,23%,83,South West,"15,430",20%,23%,17%,"40,400",3.0,16%,12%
BH17,"338,905",,,"275,236","349,100","440,550",,,339,339,15.0,51%,"1,164",,,,,,,,,4.1%,,6%,9%,16%,77,South West,"22,518",19%,23%,17%,"41,600",3.0,13%,12%
BH18,"504,033",,,"347,492","494,697","550,000",,,368,368,10.0,48%,,,,,,,,,,,,4%,10%,19%,42,South West,"11,861",29%,16%,40%,"48,900",3.0,2%,5%
BH19,"398,907",,,"276,660","459,129",,,395,373,384,9.0,14%,,,,,,,,,,,,-2%,13%,15%,69,South West,"11,316",28%,21%,21%,"37,500",3.0,12%,14%
BH20,"393,739",,,"276,345","419,516","563,667",,,317,317,11.0,22%,,,,,,,,,,,,8%,19%,19%,81,South West,"20,134",27%,21%,21%,"40,600",3.0,16%,18%
BH21,"470,210",,,"313,813","436,963","599,134","777,993",381,353,367,26.0,17%,"1,215",,,,,,,,,3.1%,,11%,19%,24%,61,South West,"40,646",29%,17%,31%,"45,600",3.0,9%,11%
BH22,"460,939",,,"316,533","470,337","628,845",,412,344,378,22.0,34%,"1,192",,,,,,,,,3.1%,,4%,8%,25%,57,South West,"26,782",23%,23%,25%,"40,400",3.0,8%,8%
BH23,"430,070",,"180,655","323,620","472,519","678,481","844,000",412,377,395,38.0,28%,"1,178",,,,"1,433",,,,,3.3%,132%,,6%,17%,74,South West,"52,807",26%,23%,25%,"40,100",3.0,12%,11%
BH24,"534,670",,,"306,932","517,711","740,000","1,031,330",353,369,361,13.0,14%,,,,,,,,,,,,5%,30%,32%,81,South West,"23,496",30%,18%,29%,"44,300",3.0,8%,12%
BH25,"430,676",,,"296,838","470,267","676,019",,383,364,373,24.0,25%,,,,,,,,,,,,17%,32%,35%,67,South West,"25,809",23%,23%,20%,"38,100",3.0,12%,11%
BH31,"429,796",,,"258,329","442,391","582,059",,,347,347,10.0,32%,,,,,,,,,,,,7%,13%,21%,45,South West,"13,310",27%,16%,29%,"45,000",3.0,7%,8%
BL0,"258,747",,,"200,732","272,726","444,662",,,215,215,15.0,21%,739,,,,,,,,,3.4%,,,23%,29%,14,North West,"17,204",34%,18%,31%,"44,900",3.0,8%,12%
BL1,"183,069",,"87,936","131,781","213,768","361,527","503,030",205,161,183,29.0,16%,603,,491,626,,,,,,4.0%,95%,20%,22%,32%,,North West,"63,206",24%,30%,19%,"35,400",2.0,21%,17%
BL2,"191,517",,,"133,652","201,486","333,090",,200,168,184,24.0,24%,606,,,,,,,,,3.8%,140%,8%,16%,29%,,North West,"45,845",20%,29%,14%,"36,900",3.0,25%,11%
BL3,"166,935",,,"119,669","197,458","281,663",,199,143,171,30.0,33%,721,,,,,,,,,5.2%,105%,14%,25%,38%,,North West,"63,784",17%,35%,13%,"34,400",3.0,23%,15%
BL4,"158,327",,,"131,663","168,609",,,,139,139,17.0,45%,603,,,,,,,,,4.6%,,12%,31%,47%,,North West,"33,664",17%,33%,9%,"33,300",3.0,30%,13%
BL5,"217,886",,,"146,285","222,535","348,812",,,188,188,21.0,24%,744,,,,,,,,,4.1%,,-1%,14%,26%,1,North West,"27,064",22%,30%,23%,"42,500",3.0,11%,12%
BL6,"211,891",,,"143,309","211,650","356,103",,239,198,218,23.0,24%,686,,,,,,,,,3.9%,122%,5%,25%,33%,8,North West,"29,345",30%,21%,26%,"41,700",3.0,13%,11%
BL7,"249,013",,,"198,187","263,126","467,496",,,217,217,9.0,19%,,,,,,,,,,,,14%,32%,31%,20,North West,"15,289",31%,20%,37%,"51,200",3.0,4%,11%
BL8,"256,938",,,"180,103","251,860","381,490",,241,207,224,21.0,21%,741,,,,,,,,,3.5%,,6%,24%,35%,,North West,"36,171",31%,18%,25%,"44,400",3.0,8%,11%
BL9,"191,938",,,"143,000","225,941","351,000",,,174,174,24.0,26%,754,,,708,,,,,,4.7%,140%,11%,24%,34%,1,North West,"47,942",22%,28%,15%,"36,600",3.0,19%,15%
BN1,"426,007",,"268,062","379,284","559,703","787,208","839,464",520,461,491,46.0,8%,"1,724",860,"1,090","1,461","1,926","2,255","2,769",596,663,4.9%,85%,1%,14%,25%,174,South East,"84,026",41%,22%,34%,"47,100",2.0,10%,30%
BN2,"423,334",,"258,366","371,904","506,938","644,880","740,180",500,426,463,47.0,7%,"2,076",949,994,"1,426","1,740","2,188","2,745",596,742,5.9%,72%,9%,18%,25%,129,South East,"93,160",33%,28%,23%,"39,500",2.0,25%,26%
BN3,"406,818","192,350","273,939","408,464","586,402","825,539","1,098,165",553,472,513,52.0,9%,"1,330",776,"1,056","1,411","2,088","2,445",,631,740,3.9%,138%,8%,15%,24%,104,South East,"79,573",43%,22%,33%,"46,200",2.0,9%,35%
BN5,"558,258",,,,"572,692","806,500",,,377,377,5.0,36%,,,,,,,,,,,,5%,15%,36%,71,South East,"7,123",33%,17%,32%,"45,300",3.0,13%,12%
BN6,"542,387",,,"390,225","534,133","698,037",,488,420,454,9.0,17%,,,,,,,,,,,,,6%,15%,82,South East,"17,572",33%,15%,38%,"54,500",3.0,11%,10%
BN7,"509,548",,,"392,495","554,577","743,227",,525,465,495,11.0,16%,"1,118",,,,,,,,,2.6%,,11%,28%,21%,98,South East,"21,125",43%,17%,35%,"49,100",3.0,16%,15%
BN8,"548,808",,,"346,189","461,035","682,722","1,144,995",393,376,385,8.0,14%,,,,,,,,,,,,3%,8%,33%,44,South East,"16,105",37%,17%,33%,"49,500",3.0,11%,13%
BN9,"315,860",,,"261,231","342,403",,,343,282,313,7.0,16%,,,,,,,,,,,,4%,14%,14%,124,South East,"13,419",18%,28%,14%,"40,300",3.0,15%,19%
BN10,"364,936",,,"296,235","389,995","452,640",,356,332,344,14.0,22%,"1,232",,,,,,,,,4.1%,,6%,14%,20%,80,South East,"18,566",18%,28%,15%,"37,000",3.0,9%,15%
BN11,"283,749",,"182,158","278,653","391,938","590,000",,372,322,347,30.0,21%,871,,819,"1,088",,,,562,,3.7%,140%,19%,33%,48%,152,South East,"32,753",29%,26%,22%,"39,700",2.0,10%,33%
BN12,"411,922",,"211,250","374,880","449,399","605,909",,448,375,411,14.0,28%,"1,132",,,,,,,,,3.3%,,4%,18%,27%,77,South East,"20,412",24%,23%,24%,"45,100",3.0,8%,9%
BN13,"365,522",,,"294,261","375,599","494,239",,379,343,361,14.0,22%,,,,,,,,,,,,7%,8%,17%,83,South East,"27,563",24%,23%,21%,"43,600",3.0,14%,11%
BN14,"428,679",,"181,071","305,621","428,852","650,893",,396,344,370,20.0,29%,999,,,,,,,,,2.8%,,10%,17%,27%,79,South East,"30,974",27%,21%,25%,"47,600",3.0,6%,15%
BN15,"342,250",,"185,000","313,046","354,322","456,806",,384,348,366,19.0,31%,,,,,,,,,,,,8%,10%,19%,78,South East,"27,279",17%,27%,15%,"39,100",2.0,12%,11%
BN16,"409,533",,"162,200","331,477","417,873","562,420",,,349,349,19.0,19%,"1,167",,,,,,,,,3.4%,,6%,11%,19%,59,South East,"28,125",24%,22%,25%,"40,500",3.0,7%,10%
BN17,"296,272",,"151,037","251,127","338,349","427,830",,,296,296,19.0,20%,886,,,,,,,,,3.6%,140%,12%,7%,14%,135,South East,"28,522",19%,27%,15%,"37,700",3.0,12%,19%
BN18,"450,206",,,"300,021","451,193","599,465",,,340,340,6.0,8%,,,,,,,,,,,,19%,22%,42%,73,South East,"13,232",30%,18%,27%,"43,200",3.0,11%,13%
BN20,"394,697",,"193,795","310,695","443,974","639,412",,343,321,332,20.0,28%,"1,186",,,,,,,,,3.6%,,2%,11%,19%,60,South East,"21,311",33%,20%,30%,"41,500",3.0,10%,14%
BN21,"252,324",,"151,354","225,035","382,967","513,706",,293,280,287,30.0,26%,828,,730,"1,009",,,,480,,3.9%,122%,11%,24%,33%,202,South East,"24,788",31%,26%,23%,"36,600",2.0,7%,36%
BN22,"301,265",,"146,986","260,240","340,475","439,611",,,275,275,20.0,34%,889,,,,,,,490,,3.5%,,12%,17%,28%,114,South East,"32,826",21%,28%,14%,"36,600",3.0,17%,19%
BN23,"290,693",,"153,533","255,645","315,948","427,350",,,303,303,23.0,38%,"1,093",,,,,,,,,4.5%,,9%,16%,22%,87,South East,"28,225",18%,28%,14%,"37,700",3.0,16%,16%
BN24,"367,657",,,"306,866","360,588","492,132",,,324,324,6.0,12%,,,,,,,,,,,,10%,13%,24%,66,South East,"9,155",22%,24%,23%,"40,800",3.0,3%,11%
BN25,"396,495",,"183,839","314,085","443,244","564,643",,383,349,366,21.0,27%,"1,067",,,,,,,,,3.2%,,6%,15%,24%,62,South East,"23,654",26%,23%,23%,"41,000",3.0,8%,13%
BN26,"334,527",,,"304,366","345,990",,,,333,333,12.0,41%,,,,,,,,,,,,6%,16%,22%,75,South East,"11,451",24%,24%,21%,"38,600",3.0,6%,13%
BN27,"338,254",,,"261,182","333,044","463,331","716,364",322,303,313,19.0,25%,"1,219",,,,,,,,,4.3%,,5%,7%,16%,87,South East,"27,198",21%,24%,19%,"39,000",3.0,11%,10%
BN41,"372,346",,,"331,556","392,679","540,000",,,387,387,9.0,30%,"1,264",,,,,,,,,4.1%,,4%,13%,16%,102,South East,"20,832",37%,24%,17%,"43,000",3.0,18%,12%
BN42,"433,996",,,,"438,071",,,,368,368,6.0,58%,,,,,,,,,,,,17%,19%,27%,85,South East,"10,201",22%,27%,18%,"39,700",3.0,15%,10%
BN43,"414,751",,"222,933","308,226","468,156","696,994",,424,407,416,12.0,19%,"1,254",,,,,,,,,3.6%,,5%,13%,17%,97,South East,"22,438",29%,21%,27%,"44,500",3.0,11%,13%
BN44,"455,000",,,"321,364","454,688","655,455",,,394,394,9.0,41%,,,,,,,,,,,,14%,24%,21%,47,South East,"10,150",34%,17%,35%,"47,600",3.0,9%,13%
BR1,"442,956",,"273,320","380,955","502,244","837,931","1,351,923",493,465,479,25.0,14%,"1,334",,"1,050","1,388",,,,599,,3.6%,132%,4%,19%,20%,138,Greater London,"55,931",32%,24%,29%,"54,400",3.0,20%,15%
BR2,"531,006",,"277,464","412,412","578,465","823,333","1,040,313",527,489,508,27.0,18%,"1,387",,"1,089","1,474",,,,,,3.1%,140%,1%,10%,12%,96,Greater London,"44,903",35%,16%,33%,"60,500",3.0,9%,15%
BR3,"508,852",,"281,406","405,431","613,930","842,691","1,087,500",548,506,527,34.0,22%,"1,365",,"1,099","1,432","1,960",,,656,,3.2%,127%,,7%,11%,93,Greater London,"47,399",39%,17%,36%,"59,000",3.0,10%,17%
BR4,"689,834",,,,"666,733","767,200",,,484,484,5.0,18%,,,,,,,,,,,,8%,16%,24%,61,Greater London,"19,361",31%,15%,35%,"59,000",3.0,4%,7%
BR5,"444,348",,"232,059","337,450","507,764","683,421",,464,445,455,21.0,23%,"1,293",,,,,,,581,,3.5%,140%,7%,23%,25%,113,Greater London,"46,003",25%,25%,20%,"52,500",3.0,25%,8%
BR6,"574,418",,"262,972","402,101","572,658","777,595","969,444",533,487,510,26.0,20%,"1,586",,,,,,,,,3.3%,122%,8%,9%,19%,76,Greater London,"46,055",31%,18%,33%,"59,100",3.0,8%,8%
BR7,"615,613",,,"447,841","607,292","986,087",,552,521,537,13.0,18%,"1,802",,,,,,,,,3.5%,140%,11%,15%,23%,84,Greater London,"17,322",36%,17%,40%,"61,500",3.0,7%,11%
BR8,"410,601",,,"310,789","413,377","541,174",,,385,385,12.0,26%,"1,087",,,,,,,,,3.2%,,5%,6%,23%,116,Greater London,"22,044",18%,26%,17%,"47,300",3.0,24%,7%
BS1,"326,095",,"241,328","376,749",,,,484,465,475,4.0,5%,"1,349",,"1,074","1,521",,,,617,,5.0%,95%,-3%,16%,16%,753,South West,"11,541",45%,23%,35%,"44,800",2.0,27%,46%
BS2,"309,327",,"211,944","310,518","406,912",,,441,375,408,9.0,30%,"1,356",,947,"1,348",,,,523,,5.3%,98%,7%,29%,25%,249,South West,"15,730",36%,33%,22%,"41,700",2.0,36%,35%
BS3,"351,278",,"214,676","324,964","405,143","550,238",,388,355,371,26.0,43%,"1,310",,908,"1,271",,,,575,720,4.5%,140%,4%,21%,33%,137,South West,"36,446",38%,25%,30%,"43,900",2.0,17%,27%
BS4,"317,892",,"188,998","284,874","333,882","464,773",,361,295,328,28.0,42%,"1,139",,824,,,,,568,,4.3%,127%,6%,15%,25%,122,South West,"47,993",25%,28%,17%,"40,500",3.0,23%,16%
BS5,"303,702",,"168,141","281,257","329,204","413,321",,362,300,331,33.0,50%,"1,332",,794,"1,095",,,,544,,5.3%,122%,9%,17%,34%,153,South West,"52,458",32%,29%,16%,"37,300",2.0,22%,27%
BS6,"460,290",,"252,389","389,957","535,418","707,500","921,539",492,439,465,21.0,36%,"1,647",,968,"1,279","1,760",,,570,,4.3%,140%,-4%,17%,19%,74,South West,"33,615",57%,13%,45%,"53,400",3.0,8%,43%
BS7,"392,389",,"218,245","292,569","407,082","586,786",,446,368,407,19.0,42%,"2,318",,,"1,254","1,621","2,109","2,807",566,633,7.1%,82%,14%,25%,33%,97,South West,"40,495",43%,20%,33%,"48,200",3.0,15%,25%
BS8,"479,727",,"260,625","415,735","642,730","807,644",,488,451,470,18.0,20%,"1,864",,993,"1,438","2,041",,,606,,4.7%,95%,-2%,5%,14%,89,South West,"26,327",57%,11%,49%,"51,100",3.0,6%,47%
BS9,"534,376",,,"331,535","480,191","766,485","930,909",441,413,427,22.0,35%,"1,526",,,,,,,,,3.4%,101%,-2%,8%,19%,58,South West,"31,160",51%,14%,50%,"52,000",3.0,11%,10%
BS10,"318,187",,,"232,060","328,206","432,491",,329,291,310,11.0,22%,"1,585",,,,,,,537,,6.0%,113%,7%,13%,21%,146,South West,"27,846",26%,29%,17%,"38,600",3.0,31%,12%
BS11,"277,446",,,"240,666","295,739",,,,265,265,12.0,39%,,,,,,,,,,,,7%,16%,28%,144,South West,"17,395",14%,33%,10%,"37,100",2.0,36%,11%
BS13,"272,130",,,"220,400","293,333","360,833",,,266,266,16.0,51%,"1,066",,,,,,,,,4.7%,,4%,18%,31%,163,South West,"29,574",10%,38%,8%,"32,700",3.0,37%,8%
BS14,"318,238",,,"243,684","312,923","420,650",,,278,278,14.0,29%,,,,,,,,,,,,6%,10%,22%,99,South West,"28,656",18%,29%,13%,"38,300",3.0,15%,10%
BS15,"283,308",,"172,944","232,515","301,645","411,665",,327,278,303,29.0,51%,"1,139",,,996,,,,559,,4.8%,140%,3%,15%,26%,84,South West,"47,398",19%,23%,16%,"40,000",3.0,12%,15%
BS16,"334,868",,"183,853","254,628","347,619","466,634",,345,313,329,49.0,32%,"2,041",,730,"1,152","1,535","2,252","3,004",575,644,7.3%,132%,2%,6%,21%,99,South West,"75,700",29%,23%,26%,"44,600",3.0,14%,16%
BS20,"388,509",,"211,683","279,305","389,711","525,758",,362,337,350,19.0,22%,"1,140",,,"1,114",,,,,,3.5%,,5%,14%,27%,62,South West,"30,042",34%,15%,33%,"46,700",3.0,9%,12%
BS21,"352,392",,,"277,396","368,658","621,386",,,332,332,18.0,32%,870,,,,,,,,,3.0%,,8%,13%,24%,51,South West,"23,270",29%,18%,27%,"41,200",3.0,8%,14%
BS22,"277,532",,,"236,732","273,471","376,874",,301,266,283,25.0,38%,940,,,,,,,,,4.1%,,9%,19%,34%,70,South West,"37,701",21%,22%,18%,"39,100",3.0,7%,16%
BS23,"214,252",,"118,628","173,830","269,088","394,462","371,591",246,205,225,34.0,21%,729,,629,841,,,,496,,4.1%,140%,18%,29%,43%,193,South West,"34,066",20%,32%,13%,"31,700",2.0,17%,30%
BS24,"276,581",,,"200,448","292,065","359,380",,285,254,269,19.0,22%,,,,,,,,,,,,1%,11%,20%,77,South West,"19,035",21%,22%,19%,"42,400",3.0,9%,19%
BS25,"459,718",,,,"411,499","505,230",,,316,316,3.0,11%,,,,,,,,,,,,-7%,-1%,26%,43,South West,"6,388",36%,15%,37%,"45,100",3.0,6%,10%
BS26,"452,952",,,,,,,,270,270,4.0,18%,,,,,,,,,,,,13%,2%,40%,70,South West,"4,933",37%,14%,35%,"44,600",3.0,7%,12%
BS27,"344,033",,,,,,,,283,283,4.0,15%,,,,,,,,,,,,4%,7%,30%,67,South West,"6,996",30%,21%,29%,"43,400",3.0,8%,12%
BS28,"653,122",,,,,,,,341,341,6.0,38%,,,,,,,,,,,,13%,19%,30%,28,South West,"3,339",41%,14%,39%,"47,400",4.0,5%,8%
BS29,"322,134",,,,,,,,281,281,4.0,15%,,,,,,,,,,,,-12%,13%,15%,51,South West,"2,588",25%,23%,26%,"42,400",3.0,7%,10%
BS30,"335,448",,,"256,150","327,443","495,750",,,322,322,19.0,33%,"1,049",,,,,,,,,3.8%,,6%,14%,25%,52,South West,"30,091",23%,19%,22%,"44,800",3.0,11%,10%
BS31,"371,444",,,"239,768","376,212","563,179",,,336,336,14.0,24%,,,,,,,,,,,,2%,5%,11%,92,South West,"19,954",28%,21%,25%,"44,000",3.0,15%,9%
BS32,"341,171",,,"239,602","345,791","518,157",,,356,356,18.0,65%,"1,135",,,"1,049",,,,,,4.0%,,1%,18%,29%,46,South West,"24,543",32%,15%,36%,"55,700",3.0,5%,21%
BS34,"312,350",,,"237,091","320,314","451,071",,,314,314,16.0,27%,"1,767",,,,"1,465","1,979",,570,612,6.8%,87%,-1%,10%,23%,116,South West,"29,904",27%,18%,22%,"45,300",3.0,16%,14%
BS35,"392,803",,,"254,250","345,706","544,447",,,315,315,12.0,18%,,,,,,,,,,,,-6%,,9%,53,South West,"21,916",36%,15%,33%,"50,200",3.0,9%,10%
BS36,"399,815",,,"299,500","361,346","525,000",,,321,321,9.0,45%,,,,,,,,,,,,5%,17%,23%,41,South West,"15,654",29%,17%,32%,"47,600",3.0,9%,6%
BS37,"319,457",,,"238,389","307,496","462,132",,,301,301,24.0,43%,"1,023",,,,,,,,,3.8%,140%,2%,11%,14%,66,South West,"38,080",22%,18%,21%,"44,900",3.0,7%,12%
BS39,"410,936",,,"259,975","364,892","569,000",,,284,284,7.0,19%,,,,,,,,,,,,,7%,23%,45,South West,"15,391",28%,18%,26%,"46,200",3.0,9%,9%
BS40,"527,966",,,,"415,721","626,748",,355,327,341,6.0,15%,,,,,,,,,,,,3%,17%,13%,42,South West,"12,549",38%,14%,37%,"49,200",3.0,7%,13%
BS41,"579,275",,,,,,,,374,374,5.0,31%,,,,,,,,,,,,16%,24%,27%,58,South West,"6,120",22%,30%,45%,"51,600",3.0,9%,10%
BS48,"417,164",,,"314,118","378,552","529,301",,360,348,354,18.0,29%,,,,,,,,,,,,7%,6%,16%,39,South West,"23,191",33%,15%,35%,"47,200",3.0,7%,9%
BS49,"422,810",,,,"355,344","489,427",,337,304,320,7.0,18%,,,,,,,,,,,,1%,5%,20%,52,South West,"11,776",33%,17%,31%,"44,500",3.0,9%,10%
CA1,"143,559",,,"98,987","144,918","224,854",,,133,133,24.0,41%,504,,,,,,,374,,4.2%,138%,-9%,,18%,158,North West,"24,515",18%,29%,12%,"33,300",2.0,21%,18%
CA2,"129,258",,,"98,206","150,832",,,,136,136,29.0,40%,503,,,496,,,,,,4.7%,122%,-5%,-5%,,121,North West,"39,646",16%,28%,10%,"33,700",3.0,20%,13%
CA3,"166,510",,,"105,600","186,714",,,,177,177,12.0,24%,,,,,,,,,,,,1%,5%,11%,126,North West,"14,066",30%,19%,24%,"40,400",3.0,7%,11%
CA4,"308,998",,,,"300,909",,,,196,196,6.0,24%,,,,,,,,,,,,4%,5%,13%,46,North West,"9,189",27%,20%,27%,"43,100",3.0,5%,12%
CA5,"308,418",,,,,,,,189,189,3.0,26%,,,,,,,,,,,,3%,10%,14%,36,North West,"6,756",21%,24%,25%,"42,000",3.0,5%,10%
CA6,"183,322",,,,"163,532",,,,162,162,7.0,22%,,,,,,,,,,,,-3%,8%,11%,67,North West,"8,842",24%,21%,18%,"37,800",3.0,8%,13%
CA7,"207,085",,,"118,239","195,778","327,726",,,144,144,15.0,17%,,,,,,,,,,,,,10%,32%,50,North West,"23,050",22%,25%,16%,"36,800",3.0,15%,10%
CA8,"218,950",,,,,,,,169,169,10.0,40%,,,,,,,,,,,,14%,18%,41%,54,North West,"10,213",31%,19%,24%,"38,000",3.0,14%,15%
CA10,"310,541",,,"166,534","261,581","412,100",,,199,199,10.0,21%,,,,,,,,,,,,11%,7%,27%,40,North West,"13,927",26%,21%,24%,"39,800",3.0,9%,16%
CA11,"220,647",,,"160,285","235,055","353,933",,,202,202,23.0,28%,,,,,,,,,,,,-4%,2%,16%,83,North West,"22,123",25%,21%,18%,"37,700",3.0,13%,15%
CA12,"452,989",,,"313,731","441,500",,,,321,321,6.0,18%,,,,,,,,,,,,2%,13%,14%,78,North West,"8,045",34%,17%,24%,"38,400",3.0,17%,12%
CA13,"229,898",,,"149,697","231,975","372,482",,,207,207,15.0,24%,,,,,,,,,,,,2%,7%,6%,48,North West,"15,009",38%,18%,34%,"46,100",3.0,11%,12%
CA14,"132,576",,,"88,290","153,857","254,359",,,140,140,25.0,29%,,,,,,,,,,,,-13%,-6%,3%,126,North West,"35,830",16%,30%,13%,"34,700",3.0,25%,8%
CA15,"106,474",,,"83,989","132,172",,,,111,111,15.0,43%,,,,,,,,,,,,1%,-3%,-4%,82,North West,"16,110",16%,31%,11%,"33,100",3.0,25%,9%
CA16,"222,859",,,,"233,450",,,,191,191,4.0,15%,,,,,,,,,,,,15%,23%,22%,48,North West,"6,155",26%,20%,18%,"38,900",3.0,7%,16%
CA17,"306,817",,,,,,,,170,170,4.0,21%,,,,,,,,,,,,1%,49%,45%,54,North West,"4,827",28%,21%,18%,"39,500",3.0,9%,18%
CA20,"254,400",,,,,,,,155,155,3.0,17%,,,,,,,,,,,,20%,34%,24%,50,North West,"3,311",34%,15%,31%,"48,300",3.0,4%,10%
CA22,"131,820",,,,,,,,114,114,4.0,28%,,,,,,,,,,,,14%,9%,26%,96,North West,"9,284",20%,27%,15%,"39,600",3.0,21%,8%
CA25,"99,840",,,,,,,,115,115,5.0,36%,,,,,,,,,,,,5%,-10%,4%,107,North West,"6,091",15%,32%,13%,"38,200",3.0,28%,8%
CA26,"188,168",,,,,,,,123,123,4.0,20%,,,,,,,,,,,,2%,14%,5%,74,North West,"3,608",19%,32%,19%,"38,200",3.0,18%,8%
CA27,,,,,,,,,185,185,4.0,33%,,,,,,,,,,,,33%,20%,21%,37,North West,"1,660",47%,13%,46%,"48,300",3.0,4%,11%
CA28,"145,846",,,"113,113","147,753","273,892",,,138,138,22.0,27%,575,,,,,,,,,4.7%,,-8%,2%,3%,98,North West,"28,790",18%,30%,16%,"37,200",3.0,21%,8%
CB1,"456,196",,"272,566","420,584","526,393","673,155",,558,501,530,17.0,17%,"1,355",,825,"1,353","1,438","2,103",,618,761,3.6%,140%,2%,11%,14%,120,East of England,"48,571",53%,16%,43%,"52,300",2.0,20%,29%
CB2,"484,591",,"304,665","415,225","580,000","721,332",,531,470,500,8.0,12%,"1,523",,,"1,541",,,,,,3.8%,140%,-1%,-12%,-2%,220,East of England,"18,084",58%,13%,47%,"58,300",3.0,22%,28%
CB3,"614,652",,,"450,333",,"869,612",,588,510,549,5.0,13%,"1,481",,,,,,,,,2.9%,117%,-10%,-1%,-11%,51,East of England,"16,058",58%,12%,55%,"50,300",3.0,14%,22%
CB4,"401,849",,"250,541","330,286","457,708","659,500",,507,448,477,17.0,16%,"1,174",,877,"1,254",,,,578,724,3.5%,132%,2%,11%,14%,120,East of England,"41,852",50%,19%,37%,"49,100",2.0,28%,24%
CB5,"434,062",,,"375,129","465,153",,,,440,440,5.0,21%,"1,276",,,,,,,601,,3.5%,105%,4%,5%,14%,142,East of England,"12,066",53%,18%,32%,"47,200",3.0,32%,22%
